Moshina modeli,Rangi,Yil,Probeg,Narxi
audi,qora,2008,48000,24000.0
kia,mokriy,2017,180000,25000.0
honda,oq,2023,0,27500.0
kia,qora,2021,20000,23000.0
kia,qora,2021,51969,24500.0
bestune,qora,2023,0,27000.0
hyundai,boshqa,2022,17000,23500.0
hyundai,boshqa,2020,42000,20500.0
renault,boshqa,2022,45000,22000.0
hyundai,oq,2022,12000,33800.0
kia,qora,2023,15000,35833.33
kia,oq,2022,22500,23500.0
kia,oq,2024,0,40950.0
hyundai,boshqa,2022,17000,21000.0
skoda,qora,2021,23500,26500.0
byd,qora,2024,,34000.0
hyundai,oq,2022,19000,45200.0
byd,oq,2024,5700,17500.0
kia,oq,2023,4700,25800.0
kia,qora,2023,50,50000.0
toyota,qora,2023,8100,72000.0
hongqi,qora,2022,47300,32000.0
byd,qora,2023,12000,29000.0
byd,qora,2024,,33000.0
leapmotor,boshqa,2024,0,26000.0
buick,oq,2024,0,17000.0
byd,oq,2024,5400,16300.0
byd,qora,2023,26500,25000.0
hyundai,oq,2022,21000,32200.0
toyota,qora,2024,0,25.0
byd,qora,2024,,33000.0
li,qora,2023,4500,60500.0
byd,qora,2023,3500,24000.0
chery,qora,2023,23000,32000.0
kia,qora,2022,20300,41000.0
byd,oq,2024,1800,27500.0
jetaur,qora,2023,14000,32000.0
byd,oq,2023,11500,26500.0
mercedes,qora,2023,4500,120000.0
hyundai,qora,2021,23000,30000.0
byd,qora,2023,16000,29000.0
hyundai,boshqa,2022,7300,32600.0
hyundai,kulrang,2022,27000,23000.0
byd,oq,2023,6300,31200.0
kia,oq jemchuk,2023,23000,32000.0
changan,oq,2024,0,20000.0
byd,oq,2024,0,29000.0
menlo,oq,2023,9000,18500.0
leapmotor,qora,2023,7000,31000.0
volvo,qora,2024,,26500.0
hyundai,boshqa,2022,14000,35000.0
neta,oq,2023,2500,13900.0
bestune,qora,2023,2338,23000.0
jetour,qora,2023,18000,22000.0
kia,oq jemchuk,2024,0,26850.0
byd,oq,2023,13000,20000.0
jetour,qora,2023,30800,24200.0
leapmotor,qora,2023,15000,33000.0
jac,oq,2024,0,20000.0
byd,qora,2024,0,28600.0
byd,qora,2024,0,28000.0
toyota,boshqa,2023,6700,31000.0
cherry,oq,2022,30000,21500.0
hyundai,oq,2023,23000,38000.0
hyundai,boshqa,2022,41500,40000.0
captiva,qora,2016,9900,24900.0
byd,qora,2023,7800,23000.0
chery,oq,2023,8400,22500.0
kia,oq,2023,8000,31000.0
hyundai,oq,2022,128760,43500.0
mercedec,oq,2019,34000,90000.0
hyundai,boshqa,2021,68000,28000.0
kia,oq jemchuk,2024,0,26850.0
chery,oq,2023,120,25416.67
kia,boshqa,2021,26000,23800.0
hyundai,boshqa,2022,24500,34500.0
chery,oq,2023,120,24166.67
equinox,qora,2023,10000,32000.0
byd,qora,2024,0,29000.0
byd,seriy,2023,28000,14200.0
hyundai,boshqa,2021,57000,30000.0
leapmotor,oq,2024,0,26000.0
equinox,boshqa,2020,52000,25000.0
chery,oq,2023,120,23333.33
chery,oq,2023,120,22000.0
byd,qora,2024,0,28000.0
mercedes,qora,2022,93000,27000.0
chery,qora,2023,80,22000.0
kia,boshqa,2023,7500,25000.0
byd,qora,2024,0,27000.0
toyota,kulrang,2008,240000,10000.0
chery,qora,2023,80,22000.0
leapmotor,qora,2023,15000,28000.0
byd,oq,2023,9500,27000.0
byd,oq,2023,7300,27000.0
kia,qora,2023,30000,36000.0
chery,qora,2023,80,22000.0
renault,boshqa,2022,29000,24000.0
denza,qora,2023,600,59000.0
kia,qora,2022,64000,60000.0
aiqar,qora,2024,5000,28800.0
bmw,boshqa,1983,,2500.0
kia,boshqa,2023,1857,29000.0
byd,oq,2024,1500,22800.0
hyundai,kulrang,2022,30000,21500.0
forthing,qora,2022,20000,26000.0
byd,qora,2024,0,29000.0
kia,qora,2022,49000,31500.0
mercedes,qora,2007,150000,15500.0
kia,boshqa,2022,50000,28000.0
hyundai,mokriy,2022,19000,31900.0
hyundai,oq,2014,138000,14500.0
hyundai,kulrang,2022,30000,20900.0
hyundai,boshqa,2022,19350,36000.0
gacaion,oq,2024,0,20200.0
voyah,qora,2024,570,39000.0
byd,qora,2024,0,25800.0
toyota,oq jemchuk,2012,161000,30000.0
byd,boshqa,2023,6300,44000.0
volkswagen,qora,2020,58000,19000.0
hyundai,boshqa,2022,7600,30300.0
